判定	一致度	単語	聞こえた内容	ファイル
OK	1.00	forecast	Forecast.	a7pvpx7.mp3
OK	1.00	foreign	Foreign.	a1ntn4r8.mp3
OK	1.00	fortunately	Fortunately.	ajer8fv.mp3
OK	1.00	fresh	Fresh.	a1m5yr2.mp3
OK	1.00	furniture	Furniture.	a1pfjfg2.mp3
OK	1.00	garbage	Garbage.	a1vvcmk5.mp3
OK	1.00	gather	Gather.	a1eb3e9n.mp3
OK	1.00	get along with 〜	Get along with.	a1vlbnxr.mp3
OK	1.00	get over 〜	Get over.	aghvtga.mp3
OK	1.00	get rid of 〜	Get rid of.	a1dch7m8.mp3
OK	1.00	get to 〜	Get to.	avq894x.mp3
OK	1.00	get together	Get together.	a1jh1fwk.mp3
OK	1.00	give a hand	Give a hand.	a1dbqri5.mp3
OK	1.00	give up 〜	Give up.	an4g8li.mp3
OK	1.00	government	Government.	a7y0ohd.mp3
OK	1.00	graduate	Graduate.	a1hl45n.mp3
OK	1.00	grow up	Grow up.	a4uoudk.mp3
OK	1.00	guess	Guess.	a1mrobb.mp3
OK	1.00	habit	Habit.	a1mympg.mp3
OK	1.00	hand in 〜	Hand in.	a1yxl5o2.mp3
OK	1.00	hardly	Hardly.	a1es3nw8.mp3
OK	1.00	harvest	Harvest.	abizpt5.mp3
OK	1.00	have a good time	Have a good time.	a8be5y1.mp3
OK	1.00	healthy	Healthy.	ad5nmal.mp3
OK	1.00	height	Height.	a1eu55if.mp3
OK	1.00	hide	Hide.	a1wmyq.mp3
OK	1.00	hold on	Hold on.	ai1yqqo.mp3
OK	1.00	huge	Huge.	a1wvxn.mp3
OK	1.00	hurt	Hurt.	a1ww7j.mp3
OK	1.00	image	Image.	a1nq2cb.mp3
OK	1.00	imagine	Imagine.	avmbgpi.mp3
OK	1.00	immediately	Immediately.	a159f0fy.mp3
OK	1.00	impossible	Impossible.	azm6rh1.mp3
OK	1.00	improve	Improve.	avurj3s.mp3
OK	1.00	in a hurry	In a hurry.	ac22geq.mp3
OK	1.00	in addition to 〜	In addition to...	a14aec2o.mp3
OK	1.00	in charge of 〜	in charge of	am63yis.mp3
OK	1.00	in fact	In fact...	av3lnd3.mp3
OK	1.00	in other words	In other words...	ap3d6vy.mp3
OK	1.00	in time	In time.	av3urc8.mp3
OK	1.00	include	Include.	aw4k3vs.mp3
OK	1.00	income	Income.	a1fg19d5.mp3
OK	1.00	increase	Increase.	a1kr2o2.mp3
OK	1.00	industry	industry.	a23peqm.mp3
OK	1.00	influence	influence.	aj9zit1.mp3
OK	1.00	instead	Instead.	awdhlc2.mp3
OK	1.00	instead of 〜	instead of	a1hryo8h.mp3
OK	1.00	instrument	instrument.	an2u21z.mp3
OK	1.00	introduce	Introduce.	aef5t0f.mp3
OK	1.00	invent	Invent.	a1fgd6qi.mp3
OK	1.00	invite	Invite.	a1fgd9u1.mp3
OK	1.00	item	Item.	a1xi4z.mp3
OK	1.00	journey	Journey.	a1bjzzy8.mp3
OK	1.00	keep in touch with 〜	Keep in touch with.	aqtcgjn.mp3
OK	1.00	knowledge	Knowledge.	apmrgxq.mp3
OK	1.00	lack	Lack.	a1z0yl.mp3
OK	1.00	license	License.	a2ra6v5.mp3
OK	1.00	local	Local.	a1perfv.mp3
OK	1.00	look after 〜	Look after.	auoecev.mp3
OK	1.00	look forward to 〜	Look forward to.	a1ulr95f.mp3
OK	1.00	make a mistake	Make a mistake.	aw2b0tp.mp3
OK	1.00	make friends with 〜	Make friends with.	a58lvvj.mp3
OK	1.00	make sense	Make sense.	a1f4n0n0.mp3
OK	1.00	make sure	Make sure.	ajza8zr.mp3
OK	1.00	manage	Manage.	a1h595k5.mp3
OK	1.00	material	Material.	a4y21bb.mp3
OK	1.00	medicine	Medicine.	a1k4utru.mp3
OK	1.00	memorize	Memorize.	a1ohtrz0.mp3
OK	1.00	mention	Mention.	afpt71m.mp3
OK	1.00	method	Method.	a1h7kb8h.mp3
OK	1.00	modern	Modern.	a1hcrz8f.mp3
OK	1.00	mostly	Mostly.	a1hd1v0w.mp3
OK	1.00	narrow	Narrow.	a1hmdopn.mp3
OK	1.00	native	Native.	a1hmes5z.mp3
OK	1.00	nearly	Nearly.	a1hoa08l.mp3
OK	1.00	necessary	Necessary.	a1o98f2n.mp3
OK	1.00	neighborhood	neighborhood.	a88rqj2.mp3
OK	1.00	nervous	Nervous.	augg27m.mp3
OK	1.00	no longer	No longer.	a7lxq3s.mp3
OK	1.00	noisy	noisy	a1qihim.mp3
OK	1.00	notice	Notice.	a1hu3w0o.mp3
OK	1.00	novel	Novel.	a1qiqt8.mp3
OK	1.00	object	Object.	a1i3tpvj.mp3
OK	1.00	offer	Offer.	a1qwgnw.mp3
OK	1.00	on purpose	On purpose.	a140xbdp.mp3
OK	1.00	on time	on time.	a1c54epa.mp3
OK	1.00	opportunity	Opportunity.	a1dns5oz.mp3
OK	1.00	order	Order.	a1r430u.mp3
OK	1.00	ordinary	Ordinary.	akh03xe.mp3
OK	1.00	participate	participate.	acowixq.mp3
OK	1.00	passenger	Passenger.	a1jelh96.mp3
OK	1.00	patient	Patient.	a1lxx7ut.mp3
OK	1.00	peaceful	peaceful	a1y27s5r.mp3
OK	1.00	perfect	Perfect.	a1nsy70t.mp3
OK	1.00	perform	Perform.	a1nsyesh.mp3
OK	1.00	period	Period.	a1imnx6p.mp3
OK	1.00	personal	Personal.	a7bujpc.mp3
OK	1.00	persuade	Persuade.	a7by41v.mp3
OK	1.00	pick up 〜	Pick up.	a1ab2tfa.mp3
OK	1.00	planet	Planet.	a1iq7q1k.mp3
OK	1.00	pleasure	Pleasure.	awm3t0t.mp3
OK	1.00	polite	Polite.	a1is21bh.mp3
OK	1.00	pollution	Pollution	a1wzp50q.mp3
OK	1.00	popular	Popular.	a1sikjq1.mp3
OK	1.00	population	Population	a11kc6dp.mp3
OK	1.00	possible	possible	aciittd.mp3
OK	1.00	praise	Praise.	a1itie7w.mp3
OK	1.00	prefer	Prefer	a1itkvm8.mp3
OK	1.00	prepare	Prepare.	a1trk9on.mp3
OK	1.00	prevent	Prevent.	a1tro6hk.mp3
OK	1.00	private	Private.	a1ttva0z.mp3
OK	1.00	probably	Probably.	a1ie1kxv.mp3
OK	1.00	produce	Produce.	a1twuy8w.mp3
OK	1.00	product	Product.	a1twuy9b.mp3
OK	1.00	professional	Professional.	aegzxuv.mp3
OK	1.00	professor	Professor.	a1icgfhr.mp3
OK	1.00	progress	Progress.	a1ih3h2l.mp3
OK	1.00	promise	Promise.	a1tx0gm3.mp3
OK	1.00	protect	Protect.	a1tx4u6n.mp3
OK	1.00	proud	Proud.	a1ro458.mp3
OK	1.00	provide	Provide.	a1tx674x.mp3
OK	1.00	public	Public.	a1iv6gyx.mp3
OK	1.00	publish	Publish.	a1v4zd3j.mp3
OK	1.00	purpose	Purpose.	a1vduqzi.mp3
OK	1.00	put off 〜	Put off.	a135778a.mp3
OK	1.00	put on 〜	Put on.	asrbgr0.mp3
OK	1.00	put up with 〜	Put up with.	a10214t2.mp3
OK	1.00	quality	Quality.	aarpssf.mp3
OK	1.00	quiet	Quiet.	a1s9ovo.mp3
OK	1.00	quite	Quite.	a1s9p86.mp3
OK	1.00	raise	Raise.	a1sgq24.mp3
OK	1.00	rare	Rare.	a22v8i.mp3
OK	1.00	rarely	Rarely.	a1jijwkv.mp3
OK	1.00	realize	Realize.	ahve4ty.mp3
OK	1.00	receive	Receive.	ahwd90j.mp3
OK	1.00	recently	Recently.	a1lnpjc8.mp3
OK	1.00	recipe	Recipe	a1jkhl72.mp3
OK	1.00	recognize	Recognize.	ag9o1vy.mp3
OK	1.00	recommend	Recommend.	agcy37g.mp3
OK	1.00	recycle	Recycle.	ahwpw2b.mp3
OK	1.00	reduce	Reduce.	a1jkigrq.mp3
OK	1.00	refuse	Refuse.	a1jkjr4k.mp3
OK	1.00	regular	Regular.	ahyuows.mp3
OK	1.00	relationship	Relationship.	a1up7nzs.mp3
OK	1.00	remain	Remain.	a1jknsz0.mp3
OK	1.00	replace	Replace.	ai3mv90.mp3
OK	1.00	reply	Reply.	a1sjf1m.mp3
OK	1.00	rescue	Rescue.	a1jkronn.mp3
OK	1.00	research	Research.	a1t8753v.mp3
OK	1.00	reserve	Reserve.	ai5656k.mp3
OK	1.00	resource	resource.	a1te1ury.mp3
OK	1.00	respect	Respect.	ai5cvye.mp3
OK	1.00	result	result.	a1jks1st.mp3
OK	1.00	run out of 〜	Run out of.	a1x8acuy.mp3
OK	1.00	scene	Scene.	a1t1pjg.mp3
OK	1.00	schedule	Schedule.	a1nhl6s7.mp3
OK	1.00	search	Search.	a1k1i3zc.mp3
OK	1.00	secret	Secret.	a1k1je0g.mp3
OK	1.00	section	Section.	awl13vp.mp3
OK	1.00	select	Select.	a1k1ov7g.mp3
OK	1.00	serious	Serious.	awt34is.mp3
OK	1.00	serve	serve	a1t39cf.mp3
OK	1.00	set up 〜	Set up.	amg6bpx.mp3
OK	1.00	several	Several.	awv7sos.mp3
OK	1.00	share	Share.	a1t4tlr.mp3
OK	1.00	sight	sight.	a1t5kt9.mp3
OK	1.00	similar	similar	aymikff.mp3
OK	1.00	simply	Simply.	a1k3wwxy.mp3
OK	1.00	situation	situation.	a1xtfbpa.mp3
OK	1.00	skill	skill.	a1t6wcx.mp3
OK	1.00	so far	so far	a1k5uatv.mp3
OK	1.00	society	Society.	a11ba84o.mp3
OK	1.00	speech	Speech.	a1k7m4te.mp3
OK	1.00	spend	Spend.	a1ta0da.mp3
OK	1.00	spread	Spread.	a1k7uflf.mp3
OK	1.00	statue	Statue.	a1k9r2sk.mp3
OK	1.00	stomach	Stomach.	a13v6bs7.mp3
OK	1.00	strange	Strange.	a13wmbgc.mp3
OK	1.00	strict	Strict.	a1ka1ozt.mp3
OK	1.00	succeed	Succeed.	a145g476.mp3
OK	1.00	such as 〜	such as	agyan6v.mp3
OK	1.00	suddenly	Suddenly.	a11nkajc.mp3
OK	1.00	suffer	suffer.	a1kadrkf.mp3
OK	1.00	suggest	suggest.	a147puv8.mp3
OK	1.00	supply	Supply.	a1kakd0v.mp3
OK	1.00	support	Support.	a14ctyhb.mp3
OK	1.00	surround	Surround.	a18i2nge.mp3
OK	1.00	survey	Survey.	a1kalra2.mp3
OK	1.00	survive	Survive.	a14e1982.mp3
OK	1.00	take care of 〜	Take care of.	aanuctl.mp3
OK	1.00	take off 〜	Take off.	asbgr82.mp3
OK	1.00	take part in 〜	Take part in.	a1jcn2c5.mp3
OK	1.00	take place	Take place.	asc427i.mp3
OK	1.00	technology	Technology.	a179a9sc.mp3
OK	1.00	temperature	Temperature.	a5bj69g.mp3
OK	1.00	terrible	Terrible.	a1fkkitf.mp3
OK	1.00	therefore	Therefore,	a2nw8bk.mp3
OK	1.00	throw away 〜	Throw away.	a17z2l0k.mp3
OK	1.00	tournament	Tournament.	a1ik4grt.mp3
OK	1.00	tradition	tradition.	acj0y9o.mp3
OK	1.00	traditional	traditional.	azodkmf.mp3
OK	1.00	traffic	Traffic.	a1hdnvul.mp3
OK	1.00	translate	Translate.	ahetufi.mp3
OK	1.00	treat	Treat.	a1tv2my.mp3
OK	1.00	trust	Trust.	a1tvexk.mp3
OK	1.00	truth	truth	a1tvey3.mp3
OK	1.00	turn down 〜	Turn down.	a5lifq9.mp3
OK	1.00	turn off 〜	Turn off.	a1cgmers.mp3
OK	1.00	unfortunately	Unfortunately.	a15o01tu.mp3
OK	1.00	unique	Unique.	a1l4olox.mp3
OK	1.00	used to 〜	used to	a1x1zw3e.mp3
OK	1.00	useful	useful.	a1l7csk6.mp3
OK	1.00	usually	Usually.	a1wu0lxr.mp3
OK	1.00	valuable	Valuable.	a1bpgvke.mp3
OK	1.00	variety	Variety.	a3wz87c.mp3
OK	1.00	vehicle	vehicle.	a5nnq5o.mp3
OK	1.00	volunteer	Volunteer.	azut2fe.mp3
OK	1.00	waste	Waste.	a1v7wgq.mp3
OK	1.00	wild	Wild.	a267yi.mp3
OK	1.00	wonder	Wonder.	a1m3ejzv.mp3
OK	1.00	work on 〜	Work on.	ah2jqa2.mp3
